time
3.9297
4.0200
3.9799
4.0052
3.9791
3.9433
3.9432
3.8512
4.0902
4.1094
4.1951
4.2848
4.1629
4.2907
4.1543
4.3681
4.2365
4.1338
4.2421
4.2811
4.3040
4.2822
4.2164
4.3530
4.3529
4.3962
4.3260
4.1520
4.2578
4.3325
